fid,%canopy,NO2_mean,LST_mean,Imp%,BD,May_LSTmean,Oct_LSTmean
1,0,3.17E-05,38.56572914,100.000836,95.04521437,300.2213375,290.303149
2,1.103564128,3.06E-05,38.39654255,95.1980225,40.90127928,299.8269029,289.6551587
3,0,2.10E-05,35.97037792,100.0087433,1.70047485,296.2751969,288.3373595
4,13.55526409,2.10E-05,35.39314508,42.80354001,34.23172682,296.6497831,288.1481996
5,11.97973079,2.10E-05,34.63358331,49.28625049,30.66422401,296.1454831,287.7572383
6,9.612971553,2.10E-05,34.66169739,66.18027708,5.649789779,296.3241082,287.8799409
7,22.93335111,3.16E-05,32.25608671,38.7798525,20.77467309,293.8905676,287.1433759
8,26.88288372,3.16E-05,33.30076718,47.42160123,8.669435003,295.5746492,287.4630932
9,39.64010001,2.91E-05,33.04124069,28.26378694,4.102136071,294.6710761,286.9283486
10,0.437270095,2.10E-05,39.24216747,100.0029767,75.15492999,302.0173237,291.17488
11,25.22300767,2.10E-05,34.31112504,32.92039773,4.69200693,295.3783394,287.3450416
12,16.72750586,2.83E-05,32.82016778,76.85629562,68.20796686,294.868646,286.0594099
13,8.363779811,2.85E-05,32.73849821,87.62187248,63.48143581,294.9759507,285.9970206
14,14.83948515,3.11E-05,33.54554033,18.6222351,1.124413748,295.4553929,287.3139607
15,1.11051489,3.05E-05,39.30712938,98.28750847,51.46542443,300.5435504,290.3393862
16,0.666310979,2.23E-05,40.04657984,98.87083232,66.41593503,301.5069803,291.5254977
17,11.84107814,3.02E-05,35.44581509,41.72834804,14.5480069,298.0955878,288.3681469
18,3.345507555,3.02E-05,38.20588756,98.08167483,70.15848625,300.7375333,290.5046576
19,5.878308313,2.65E-05,34.28804183,84.87111258,58.26257177,296.9137606,288.6486584
20,0,3.93E-05,39.12395215,100.0149978,99.82758685,300.875334,291.3714526
21,0,2.97E-05,34.38530207,100.0346772,80.57192153,295.2372488,287.0362195
22,0.458114502,2.91E-05,36.00031686,97.29380272,80.8155629,298.0409491,289.3290636
23,0,3.96E-05,39.89212871,100.0073138,85.9932406,301.0321918,290.6920946
24,0,3.96E-05,34.91832423,99.99424299,10.85596252,295.8195814,288.090257
25,0.249878126,2.91E-05,35.07773256,92.87137006,76.77505413,294.4382017,286.5898457
26,21.84352748,2.91E-05,36.0284164,96.77925125,90.9556988,297.9229568,289.5566981
27,17.69944447,2.95E-05,33.33897722,61.4344247,5.740172774,296.4705424,287.3938298
28,1.020327582,3.78E-05,37.34066677,99.03424451,69.79179482,298.6338191,289.1178051
29,5.84430227,3.02E-05,34.74383521,83.7984101,59.61604774,295.9822885,287.176012
30,9.640978976,3.02E-05,32.87050343,22.99536598,0,295.9669124,287.852294
31,54.81947858,2.91E-05,28.60582948,31.45630247,2.845781998,291.8996595,284.2328532
32,42.73839071,2.65E-05,29.55701184,22.1812109,14.36642883,293.442778,285.7448637
33,4.546226532,2.21E-05,34.47739005,67.04122453,3.553691579,297.5540903,287.911172
34,0,3.95E-05,42.34712911,99.99937428,95.2031247,304.813839,292.0840318
