fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean,Income,road distance (meters),river distance (meters),petrochem_distance,Distance_M,Lat,Long,Households
1,0,3.17E-05,0,38.56572914,0.289607033,-0.158376143,0,0,100.000836,95.04521437,6.47E-05,6.74E-05,76204,343.94,4820.69,18758.93,1237.444546,-406699.3507,179516.9367,0
2,1.103564128,3.06E-05,6.78E-21,38.39654255,0.281768847,-0.133025809,875,6.07307303,95.1980225,40.90127928,6.41E-05,6.71E-05,76204,270.69,5229.31,18903.83,1413.417913,-406491.6573,179137.443,0
3,0,2.10E-05,0,35.97037792,0.137757728,-0.041019513,0,0,100.0087433,1.70047485,6.33E-05,6.21E-05,44361,1498.47,4769.63,18684,665.0789906,-404889.9618,178153.3369,0
4,13.55526409,2.10E-05,0,35.39314508,0.535204738,0.000592215,813,5.642821149,42.80354001,34.23172682,6.39E-05,6.24E-05,44361,1855.57,5027.78,18224.59,319.9732411,-404161.2972,178209.3896,250
5,11.97973079,2.10E-05,0,34.63358331,0.274028364,-0.002564074,1677,11.63963415,49.28625049,30.66422401,6.39E-05,6.24E-05,44361,1827.18,5312.89,17899.22,100.3034834,-403900.8236,178427.157,36
6,9.612971553,2.10E-05,0,34.66169739,0.086998674,0.078408946,1284,8.911953411,66.18027708,5.649789779,6.55E-05,6.46E-05,48717.31,2026.21,4954.71,18092.41,176.2542124,-403235.4667,177766.5328,14
7,22.93335111,3.16E-05,0,32.25608671,0.631498436,0.015538681,2080,14.43746075,38.7798525,20.77467309,7.35E-05,5.92E-05,59107,963.66,621.82,17108.29,0,-394983.8695,175594.432,44
8,26.88288372,3.16E-05,0,33.30076718,0.412481957,0.061049158,1702,11.8137537,47.42160123,8.669435003,6.65E-05,6.03E-05,53821.67,381.39,457.34,16490.47,0,-394572.1506,176160.0187,2
9,39.64010001,2.91E-05,0,33.04124069,0.273865348,0.177922336,1212,8.4125024,28.26378694,4.102136071,6.78E-05,6.28E-05,24041,133.98,1933.54,14181.61,0,-396734.0808,178998.7881,76
10,0.437270095,2.10E-05,0,39.24216747,0.521383146,-0.17594348,0,0,100.0029767,75.15492999,6.68E-05,6.86E-05,35271,93.48,6186.55,15478.89,350.7567952,-402404.9546,180341.6249,0
