fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,road_dens_sum,Road%,Imp%,BD,MayNO2_mean,OctNO2_mean
1,0,3.17E-05,0,38.56572914,0.2896070326,-0.1583761433,0,0,100.000836,95.04521437,6.47E-05,6.74E-05
10,0.437270095,2.10E-05,0,39.24216747,0.5213831462,-0.1759434804,0,0,100.0029767,75.15492999,6.68E-05,6.86E-05
100,36.52829774,3.17E-05,0,32.77366769,0.8685713891,0.1565932988,1276,8.85618619,69.46831315,15.34563297,5.38E-05,6.77E-05
101,9.376345304,2.74E-05,3.39E-21,34.36143231,0.09256878295,0.007277040104,2874,19.94642221,39.19881441,17.28828731,3.66E-05,7.03E-05
102,0.2568159701,3.02E-05,0,35.63338304,0.3869824644,-0.1956274401,0,0,98.58956865,11.67471518,6.31E-05,6.47E-05
103,13.29040339,2.65E-05,0,31.82953298,0.4145303959,0.1449522096,1485,10.30613526,21.52837144,10.88216841,3.65E-05,6.27E-05
104,44.3039383,2.91E-05,0,31.05024576,0.2111230208,0.1209618566,1510,10.48080007,28.27039648,14.43018764,6.19E-05,6.58E-05
105,29.87172651,2.75E-05,0,32.13059163,0.2520044297,0.1265137492,2082,14.45003127,28.49751604,11.36152795,3.96E-05,7.62E-05
106,75.62888284,2.91E-05,0,30.57381821,1.428099733,0.2701874696,0,0,33.3097475,10.95980231,6.59E-05,6.58E-05
107,47.14067508,3.17E-05,0,32.97786164,0.2683365832,0.0991742216,1932,13.4092733,32.87770581,14.33931607,5.04E-05,6.90E-05
108,19.98298135,3.02E-05,0,35.20461226,0.2178752212,-0.0232104922,4037,28.02059594,56.67281789,16.49862684,6.77E-05,6.63E-05
109,23.98834788,3.96E-05,0,33.61051607,0.2409947574,-0.01433107314,2682,18.61595747,63.2192918,12.59110621,6.55E-05,6.03E-05
11,25.22300767,2.10E-05,0,34.31112504,0.3886092712,0.1493224384,992,6.885311945,32.92039773,4.69200693,6.74E-05,6.77E-05
110,10.31458052,3.26E-05,2.03E-20,34.93811488,0.1464368055,-0.09227611239,2327,16.15210557,76.38758993,9.738463305,5.62E-05,6.10E-05
111,19.77970773,2.67E-05,1.02E-20,33.24876809,0.3191667084,0.08798940431,2069,14.35937378,26.53950959,11.54163296,4.11E-05,6.98E-05
112,0.1665883378,3.86E-05,1.36E-20,39.08850789,0.1716096868,-0.1810278448,0,0,93.99746958,58.63909489,5.28E-05,5.89E-05
113,8.787288092,2.91E-05,0,32.23611569,0.4334480508,-0.1065301273,0,0,77.07270693,55.47235895,6.72E-05,6.53E-05
114,0.4025376119,2.66E-05,1.02E-20,33.25950575,0.3588435547,-0.2270788065,0,0,95.49163797,58.38183433,3.67E-05,7.39E-05
115,0.4927727155,2.75E-05,0,37.81225634,0.8792627403,-0.1739495757,627,4.35166891,88.85871939,58.95227388,4.59E-05,7.81E-05
116,0.5275183861,3.78E-05,2.71E-20,38.33236504,0.6702328749,-0.1972676217,0,0,99.98555727,58.56148189,5.39E-05,5.69E-05
117,4.789395269,3.95E-05,1.52E-07,36.06642556,0.723817486,-0.140112231,1687,11.70972438,89.8740434,55.84851353,5.86E-05,6.15E-05
118,0.2637347047,2.75E-05,0,36.67865634,0.4953959937,-0.1941104127,401,2.783095173,93.77850869,55.17607638,4.28E-05,7.23E-05
119,4.386663212,2.82E-05,0,39.83646274,0.7060084722,-0.1803971806,10,0.06940922804,87.95537378,59.66417243,6.48E-05,5.78E-05
12,16.72750586,2.83E-05,1.06E-06,32.82016778,0.7945965041,0.01314783003,121,0.8398457301,76.85629562,68.20796686,6.16E-05,6.67E-05
120,0,3.05E-05,3.39E-21,37.55733752,1.335658094,-0.1554061773,0,0,100.0228108,59.10722759,6.78E-05,6.38E-05
121,8.731765946,2.91E-05,0,37.30851316,0.2861035337,-0.1316209254,2064,14.32620422,81.68851623,56.08320258,6.78E-05,6.75E-05
122,0.2498728927,2.93E-05,6.78E-21,39.67063117,0.5322561788,-0.1986276093,0,0,99.9699798,51.88332979,5.49E-05,6.49E-05
123,3.636870783,3.17E-05,0,37.08805537,1.05134063,-0.1319942348,819,5.684345747,77.18633584,51.40897308,5.46E-05,7.07E-05
124,1.089736898,3.91E-05,6.78E-21,37.30870962,0.5543265885,-0.1460367434,0,0,100.0128596,50.30142228,6.00E-05,6.24E-05
125,3.095400624,2.74E-05,6.78E-21,37.63362026,0.4866246751,-0.1480671064,0,0,69.63957369,51.35866507,4.07E-05,6.71E-05
126,8.301274535,3.02E-05,0,38.56337953,1.139389616,-0.1313314957,1854,12.8683637,89.67597574,49.33566839,7.04E-05,6.70E-05
127,0.3192726392,2.10E-05,0,39.04712462,0.2798648398,-0.1789435301,2,0.01388141909,96.95477166,54.76219833,6.37E-05,6.22E-05
128,8.946959893,2.91E-05,0,37.25749302,0.489561812,-0.1481550457,2186,15.17304447,84.54148293,51.67580792,6.86E-05,6.82E-05
129,2.228072552,2.92E-05,1.02E-20,36.89206958,0.3827742815,-0.1686972889,2170,15.0620481,99.44422261,52.50199622,6.37E-05,6.61E-05
13,8.363779811,2.85E-05,3.39E-21,32.73849821,0.9587633291,-0.1975103921,0,0,87.62187248,63.48143581,6.29E-05,6.69E-05
130,0.04164363276,2.25E-05,0,39.20735431,0.5491250705,-0.2015126588,0,0,100.0280059,52.38769001,5.18E-05,6.31E-05
131,6.45513377,3.02E-05,3.39E-21,37.81214595,0.8299415039,-0.1687830336,1591,11.04313745,85.52705195,49.28806979,5.66E-05,5.72E-05
132,9.634063194,2.91E-05,0,34.14368534,0.6391377511,-0.1215863206,68,0.4719858049,95.6187713,54.81976305,6.71E-05,6.22E-05
133,0.06940773604,3.17E-05,0,36.5013392,0.2020528784,-0.1972675306,4168,28.92914438,92.187355,50.34143095,6.21E-05,7.05E-05
134,2.436051867,2.75E-05,2.52E-08,36.39063191,0.4239086993,-0.161785122,210,1.457466929,86.12241487,48.04088611,3.51E-05,7.43E-05
135,8.412463804,2.86E-05,3.06E-07,35.08417964,1.450749293,-0.1625582589,2,0.01388195347,86.74138627,46.01867576,6.07E-05,5.87E-05
136,1.978236541,3.96E-05,0,33.78427958,1.047304079,-0.1765560363,0,0,98.60641509,47.88720665,5.46E-05,6.12E-05
137,8.301274535,3.02E-05,0,38.56337953,1.139389616,-0.1313314957,1854,12.8683637,89.67597574,49.33566839,7.04E-05,6.70E-05
138,9.627041389,2.91E-05,0,32.12559271,0.7909312715,-0.1131261557,994,6.899263981,95.93030933,45.56707045,6.19E-05,6.58E-05
139,3.706052224,2.65E-05,0,35.66367745,0.819649428,-0.1844381351,0,0,92.74846802,48.65755083,3.65E-05,6.27E-05
14,14.83948515,3.11E-05,0,33.54554033,0.4507003729,0.2442998682,0,0,18.6222351,1.124413748,6.74E-05,6.77E-05
140,1.159114967,2.10E-05,1.35E-08,35.63241291,0.5174188419,-0.1435077642,1641,11.38986624,77.34142564,45.42064878,5.78E-05,5.83E-05
141,0.3886455551,2.65E-05,0,34.22314548,0.5537989745,-0.1034796944,517,3.588031285,81.78212895,48.78195726,3.26E-05,5.51E-05
142,0,3.87E-05,4.97E-07,37.1638999,0.4064118869,-0.1875939125,0,0,99.97894857,47.76833685,5.97E-05,6.12E-05
143,15.49204019,2.17E-05,0,34.90068007,0.5517218417,-0.0743377334,757,5.254244815,69.08950183,45.08794494,6.52E-05,6.71E-05
144,6.45513377,3.02E-05,3.39E-21,37.81214595,0.8299415039,-0.1687830336,1591,11.04313745,85.52705195,49.28806979,5.66E-05,5.72E-05
145,0.06246782543,3.02E-05,0,38.8451457,0.6451669812,-0.1768711241,1454,10.09202424,100.0109885,49.1205334,5.88E-05,6.47E-05
146,0,3.02E-05,0,38.98471093,0.4121289079,-0.2029899277,138,0.9578585584,98.60390348,39.93853728,6.34E-05,6.28E-05
147,1.443555164,2.92E-05,3.39E-21,33.41267991,0.8596516321,-0.1076020582,0,0,99.95231474,39.2258355,3.85E-05,5.98E-05
148,3.609017247,2.75E-05,0,35.34332085,0.2187769667,-0.1099899086,2337,16.21975636,63.32437186,41.1358562,3.97E-05,7.73E-05
149,0.6801884247,2.65E-05,0,34.01689768,0.7147612895,-0.02501621579,1194,8.287193664,94.13668984,41.24162877,3.34E-05,5.66E-05
15,1.11051489,3.05E-05,3.39E-21,39.30712938,0.2932482202,-0.1383447306,0,0,98.28750847,51.46542443,6.78E-05,6.38E-05
150,27.79870313,2.91E-05,0,35.31416106,0.2808869723,-0.011776498,2622,18.19930078,70.35397127,40.2022693,6.13E-05,6.86E-05
151,0.2429321374,2.21E-05,0,38.41552091,0.349047515,-0.1792343431,2547,17.67851868,99.99780866,44.81056797,4.50E-05,6.20E-05
152,0.01388186332,2.10E-05,0,37.30792403,0.7015533287,-0.1156491403,1436,9.967177861,76.66259016,41.47206666,6.48E-05,6.37E-05
153,11.29973537,3.02E-05,0,36.27892232,0.3172420562,-0.1035444337,3472,24.09869854,70.36653393,39.80588598,6.71E-05,6.84E-05
154,2.866632741,3.91E-05,1.36E-20,38.43096089,0.5244266268,-0.08604490638,1327,9.210706168,99.99897797,43.00643212,6.00E-05,6.24E-05
155,5.691021611,2.65E-05,0,35.75462437,0.4795219142,-0.110279325,1965,13.63763106,78.01557797,40.08700101,4.04E-05,6.66E-05
156,10.59172653,2.82E-05,0,36.97212911,0.1663923932,-0.1034108277,2325,16.13746015,77.38345942,35.06513921,4.96E-05,5.66E-05
157,0,3.02E-05,0,38.98471093,0.4121289079,-0.2029899277,138,0.9578585584,98.60390348,39.93853728,6.34E-05,6.28E-05
158,1.443555164,2.92E-05,3.39E-21,33.41267991,0.8596516321,-0.1076020582,0,0,99.95231474,39.2258355,3.85E-05,5.98E-05
159,0.589954967,2.16E-05,0,37.54495549,0.4202089326,-0.1778862483,498,3.456442042,98.00193099,39.92259965,5.17E-05,6.17E-05
16,0.6663109795,2.23E-05,6.78E-21,40.04657984,0.4171180212,-0.1854101115,664,4.608650941,98.87083232,66.41593503,6.54E-05,6.55E-05
160,0,2.42E-05,0,36.26480675,0.6209780827,-0.1681883044,0,0,99.99994627,37.8886526,5.51E-05,6.75E-05
161,5.260807463,2.75E-05,0,38.03354239,0.4451447153,-0.1650122674,2677,18.57939522,77.90575696,36.76318883,4.08E-05,7.26E-05
162,20.86485129,2.91E-05,0,35.66002131,0.1314275409,-0.07126599315,2668,18.5187702,67.32836243,35.21898051,6.35E-05,6.57E-05
163,18.62267749,2.91E-05,0,35.6423521,0.6725457633,-0.07990682162,324,2.248880919,91.10744117,38.84178278,6.42E-05,6.16E-05
164,8.280368551,3.16E-05,6.78E-21,36.77537417,0.2184343684,-0.1179713225,2219,15.40162432,68.41541728,36.15460166,6.19E-05,6.84E-05
165,8.939862559,2.21E-05,0,37.3167181,0.7167706877,-0.1080951568,4331,30.06098194,97.63051766,35.27358814,5.12E-05,6.15E-05
166,13.81895289,2.10E-05,2.92E-08,35.08487415,0.5060198001,-0.06155611628,1763,12.23647109,56.41408794,29.72011867,5.88E-05,5.50E-05
167,23.21767366,2.91E-05,0,35.30712867,0.2415571717,-0.04058844776,3537,24.5503473,74.21326359,36.46805901,6.13E-05,6.82E-05
168,5.580455422,3.02E-05,0,37.29666543,0.1710594344,-0.05925863906,2173,15.08249954,98.74074481,31.42129564,6.77E-05,6.93E-05
169,1.721409301,3.96E-05,0,35.19506788,1.025955816,-0.2008746811,0,0,99.98750395,34.75442085,5.28E-05,5.61E-05
17,11.84107814,3.02E-05,0,35.44581509,0.1728581452,-0.006045570476,3071,21.31532881,41.72834804,14.5480069,6.35E-05,6.52E-05
170,0.8189523345,2.65E-05,0,35.90065479,0.7898413845,-0.246938542,28,0.1943276726,98.03137055,33.44518051,4.05E-05,6.17E-05
171,16.44259128,3.17E-05,0,34.86859107,0.1815365348,-0.02694985713,2322,16.11637693,62.05013339,31.44151054,5.96E-05,6.82E-05
172,6.503594606,2.21E-05,0,36.14213538,0.5904249635,-0.09567575899,3067,21.28764638,70.03337201,34.35730342,4.35E-05,5.97E-05
173,3.768870686,2.82E-05,0,37.08616376,0.1223786506,-0.1667732335,2788,19.35103402,94.67986193,29.27642091,4.96E-05,5.66E-05
174,5.434612293,2.23E-05,6.78E-21,38.00585508,0.671795555,-0.1033336602,1224,8.495485883,96.33769939,32.18428761,6.54E-05,6.55E-05
175,10.68134492,2.75E-05,0,35.74543858,0.6678060574,-0.06781747548,1510,10.48007202,64.99032739,31.21118136,4.27E-05,7.76E-05
176,23.35613004,2.97E-05,2.41E-07,34.94338131,0.1436647843,-0.0629105448,3895,27.03480728,69.15913216,29.13095922,5.92E-05,6.65E-05
177,2.05430383,2.65E-05,0,34.88989234,0.5601135924,-0.02221449886,1290,8.952878178,44.33409752,29.71106316,4.05E-05,6.37E-05
178,15.40844136,2.10E-05,0,36.45909357,0.3622287464,-0.07727909615,43,0.298451792,74.95998497,29.30380153,5.92E-05,6.18E-05
179,0,3.96E-05,0,39.45924067,0.951191663,-0.2159809756,0,0,100.0087387,94.63625369,5.45E-05,5.53E-05
18,3.345507555,3.02E-05,0,38.20588756,0.4573351573,-0.1772055924,111,0.7704384619,98.08167483,70.15848625,7.05E-05,6.67E-05
180,0,2.78E-05,6.78E-21,39.17240024,0.3261500727,-0.2183778809,0,0,90.93543669,90.93543669,5.84E-05,6.81E-05
181,1.068895259,2.24E-05,1.36E-06,42.3040626,1.655989942,-0.1860692658,0,0,99.96947027,89.27357679,6.00E-05,5.89E-05
182,0.3539477209,2.65E-05,0,35.46277285,1.18010006,-0.2296762641,0,0,98.98043912,94.21949527,3.32E-05,5.89E-05
183,0,3.17E-05,0,40.35418916,1.723683567,-0.2208232793,0,0,99.98701502,93.01860164,5.47E-05,6.61E-05
184,0.1249392283,3.02E-05,0,31.84907007,0.2841598177,0.07483367973,0,0,99.97914689,91.21951877,6.97E-05,6.43E-05
185,0,3.95E-05,2.03E-20,39.34067416,0.6533754326,-0.2013859138,0,0,99.95266044,89.94351208,5.47E-05,6.11E-05
186,0,3.02E-05,6.78E-21,43.60169148,1.060575888,-0.2343522466,0,0,100.0378047,93.79802215,6.37E-05,6.79E-05
187,0.09022862402,2.10E-05,1.36E-20,41.68961835,1.164625521,-0.1980211549,0,0,100.0149594,95.05932573,6.78E-05,6.73E-05
188,0,3.10E-05,0,39.3256402,0.9494627044,-0.1509279284,0,0,99.986357,99.986357,6.43E-05,6.47E-05
189,0,2.75E-05,1.69E-20,41.59612823,0.7313368486,-0.2253090609,0,0,99.67700974,98.51789403,4.94E-05,5.53E-05
19,5.878308313,2.65E-05,0,34.28804183,0.4932354605,-0.1190598055,0,0,84.87111258,58.26257177,3.32E-05,5.89E-05
190,0.5830304476,2.10E-05,0,42.1798594,1.272151387,-0.2049154935,0,0,99.99666261,93.24322659,5.59E-05,5.99E-05
191,0.3886946997,3.01E-05,6.78E-21,39.31349349,0.4965832184,-0.1645343219,595,4.129881184,99.82512804,64.96754266,7.13E-05,6.76E-05
192,0,3.96E-05,0,38.89290357,0.8640125109,-0.2128299249,0,0,99.98111024,65.63603016,5.45E-05,5.53E-05
193,0.2706910115,3.17E-05,0,39.53516078,1.566566954,-0.2303168194,0,0,99.87110167,66.6455152,7.01E-05,6.82E-05
194,2.901345409,3.95E-05,6.78E-21,36.63166857,0.3417207622,-0.1511080559,0,0,98.59715677,65.53708935,5.93E-05,6.20E-05
195,3.775830487,2.21E-05,0,38.56632185,1.803140146,-0.1136428748,0,0,84.89371817,66.86135125,4.34E-05,6.04E-05
196,1.055023655,2.11E-05,6.78E-21,39.03560376,0.4996421522,-0.1619710409,0,0,96.25008567,66.74412806,6.36E-05,5.85E-05
197,0,2.23E-05,6.78E-21,39.66506076,0.3263242743,-0.1808620325,0,0,99.11902061,65.65134206,5.52E-05,6.70E-05
198,0.3331457441,2.92E-05,6.78E-21,39.85454822,0.4221047638,-0.1937852888,0,0,96.27217951,69.19714726,5.15E-05,6.75E-05
199,6.912325047,2.08E-05,2.37E-06,33.6702888,0.5493973007,-0.1817030122,0,0,100.0135705,68.88728757,3.11E-05,5.48E-05
2,1.103564128,3.06E-05,6.78E-21,38.39654255,0.281768847,-0.1330258087,875,6.07307303,95.1980225,40.90127928,6.41E-05,6.71E-05
20,0,3.93E-05,2.03E-20,39.12395215,0.9520726644,-0.1915831651,0,0,100.0149978,99.82758685,6.25E-05,6.09E-05
200,0.4164697141,3.93E-05,2.03E-20,37.44481301,0.4467767539,-0.1622731014,0,0,100.0013195,65.29551001,6.25E-05,6.09E-05
201,2.2904567,3.17E-05,0,39.42828131,0.9348844624,-0.1720425897,730,5.066767851,99.93331988,68.91498355,6.64E-05,7.00E-05
202,3.033191076,3.02E-05,0,39.68689156,0.6685134537,-0.1666995411,2139,14.84667211,94.34126569,62.80857219,5.61E-05,6.75E-05
203,8.536864534,2.92E-05,6.78E-21,38.93695855,0.4363193349,-0.1493648991,0,0,81.59299143,61.20168412,5.15E-05,6.75E-05
204,0.02082225608,3.17E-05,0,38.65562153,0.3661097994,-0.1842287297,1595,11.07049948,100.009296,61.45341845,6.02E-05,6.86E-05
205,0,2.44E-05,3.39E-21,40.97002864,0.7006841536,-0.2135869505,0,0,99.96246421,64.66118015,5.38E-05,6.46E-05
206,3.387230065,2.91E-05,0,38.46388674,0.4186193192,-0.201919566,2022,14.03479343,95.83501129,61.94882855,7.20E-05,6.76E-05
207,0.09022164959,2.65E-05,0,36.1603303,0.523003674,-0.1288868589,0,0,99.99334826,63.14127446,3.34E-05,5.66E-05
208,4.386663212,2.82E-05,0,39.83646274,0.7060084722,-0.1803971806,10,0.06940922804,87.95537378,59.66417243,6.48E-05,5.78E-05
209,4.705505775,2.49E-05,0,38.82730985,0.9026077944,-0.1598703393,0,0,88.27334506,61.34508192,3.79E-05,6.84E-05
21,0,2.97E-05,3.39E-21,34.38530207,0.8330661286,-0.261745228,0,0,100.0346772,80.57192153,6.71E-05,6.38E-05
210,0.01388203522,3.95E-05,1.36E-20,38.40594697,0.5058965447,-0.1755892295,681,4.726832993,99.06914436,62.73985818,5.93E-05,6.20E-05
211,0.7496196591,3.02E-05,0,40.2317028,0.5400380545,-0.2115459912,1136,7.884888266,99.96316973,78.84888266,7.11E-05,6.76E-05
212,2.380685334,3.17E-05,6.78E-21,38.32053399,0.7068931,-0.1900724812,328,2.27657373,100.0026656,79.44409425,6.36E-05,6.88E-05
213,0.4789166523,2.10E-05,0,37.6957233,0.6366860983,-0.2106006263,0,0,100.0033496,75.30096754,6.74E-05,6.77E-05
214,0,3.10E-05,0,40.14209294,0.8758039653,-0.1952009954,0,0,100.0142554,75.12348434,6.43E-05,6.47E-05
215,0.2568181652,3.43E-05,2.03E-20,40.64170647,0.3902312375,-0.2252702939,0,0,100.0063818,76.33052333,6.33E-05,6.08E-05
216,0.05552716713,2.21E-05,4.69E-09,37.8415091,0.5093752598,-0.1777124002,31,0.2151677726,99.96278262,78.39047819,5.10E-05,6.29E-05
