fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,REDNO2_mean,petrochem_distance
1,0,3.17E-05,0,38.56572914,0.289607033,-0.158376143,0,100.000836,95.04521437,3.17E-05,18758.93
2,1.103564128,3.06E-05,6.78E-21,38.39654255,0.281768847,-0.133025809,6.07307303,95.1980225,40.90127928,3.06E-05,18903.83
3,0,2.10E-05,0,35.97037792,0.137757728,-0.041019513,0,100.0087433,1.70047485,2.10E-05,18684
4,13.55526409,2.10E-05,0,35.39314508,0.535204738,0.000592215,5.642821149,42.80354001,34.23172682,2.10E-05,18224.59
5,11.97973079,2.10E-05,0,34.63358331,0.274028364,-0.002564074,11.63963415,49.28625049,30.66422401,2.10E-05,17899.22
6,9.612971553,2.10E-05,0,34.66169739,0.086998674,0.078408946,8.911953411,66.18027708,5.649789779,2.10E-05,18092.41
7,22.93335111,3.16E-05,0,32.25608671,0.631498436,0.015538681,14.43746075,38.7798525,20.77467309,3.16E-05,17108.29
8,26.88288372,3.16E-05,0,33.30076718,0.412481957,0.061049158,11.8137537,47.42160123,8.669435003,3.16E-05,16490.47
9,39.64010001,2.91E-05,0,33.04124069,0.273865347,0.177922335,8.4125024,28.26378694,4.102136071,2.91E-05,14181.61
10,0.437270095,2.10E-05,0,39.24216747,0.521383146,-0.17594348,0,100.0029767,75.15492999,2.10E-05,15478.89
11,25.22300767,2.10E-05,0,34.31112504,0.388609271,0.149322438,6.885311945,32.92039773,4.69200693,2.10E-05,14386.86
12,16.72750586,2.83E-05,1.06E-06,32.82016778,0.794596504,0.01314783,0.83984573,76.85629562,68.20796686,2.83E-05,13083.71
13,8.363779811,2.85E-05,3.39E-21,32.73849821,0.958763329,-0.197510392,0,87.62187248,63.48143581,2.85E-05,13466.59
14,14.83948515,3.11E-05,0,33.54554033,0.450700373,0.244299868,0,18.6222351,1.124413748,3.11E-05,12655.88
15,1.11051489,3.05E-05,3.39E-21,39.30712938,0.29324822,-0.138344731,0,98.28750847,51.46542443,3.05E-05,16990.12
16,0.666310979,2.23E-05,6.78E-21,40.04657984,0.417118021,-0.185410111,4.608650941,98.87083232,66.41593503,2.23E-05,16770.1
17,11.84107814,3.02E-05,0,35.44581509,0.172858145,-0.00604557,21.31532881,41.72834804,14.5480069,NA,7747.37
18,3.345507555,3.02E-05,0,38.20588756,0.457335157,-0.177205592,0.770438462,98.08167483,70.15848625,NA,7910.7
19,5.878308313,2.65E-05,0,34.28804183,0.49323546,-0.119059805,0,84.87111258,58.26257177,2.65E-05,34649.11
20,0,3.93E-05,2.03E-20,39.12395215,0.952072664,-0.191583165,0,100.0149978,99.82758685,NA,4259.23
21,0,2.97E-05,3.39E-21,34.38530207,0.833066129,-0.261745228,0,100.0346772,80.57192153,2.97E-05,6349.31
22,0.458114502,2.91E-05,0,36.00031686,0.422265435,-0.232803426,3.373388608,97.29380272,80.8155629,2.91E-05,7361.36
23,0,3.96E-05,0,39.89212871,0.565102167,-0.212704239,0,100.0073138,85.9932406,NA,2445.09
24,0,3.96E-05,0,34.91832423,0.340261741,-0.152685006,0,99.99424299,10.85596252,NA,0
25,0.249878126,2.91E-05,0,35.07773256,0.44682456,-0.247246351,10.57817399,92.87137006,76.77505413,2.91E-05,11460
26,21.84352748,2.91E-05,0,36.0284164,0.49058722,-0.074215979,4.463103963,96.77925125,90.9556988,2.91E-05,12272.84
27,17.69944447,2.95E-05,2.92E-07,33.33897722,0.996857054,0.058652828,21.54473554,61.4344247,5.740172774,2.95E-05,9936.38
28,1.020327582,3.78E-05,0,37.34066677,0.747343883,-0.155377315,0.937035535,99.03424451,69.79179482,NA,1961.59
29,5.84430227,3.02E-05,0,34.74383521,0.204891602,-0.13074335,3.880005901,83.7984101,59.61604774,3.02E-05,7233.29
30,9.640978976,3.02E-05,0,32.87050343,0.703489061,0.249944972,7.281056117,22.99536598,0,NA,4335.5
31,54.81947858,2.91E-05,0,28.60582948,0.33426137,0.241877875,2.672258705,31.45630247,2.845781998,2.91E-05,12541.55
32,42.73839071,2.65E-05,0,29.55701184,0.183843176,0.171753965,7.814782062,22.1812109,14.36642883,2.65E-05,30562.51
33,4.546226532,2.21E-05,0,34.47739005,0.262316144,-0.023877451,42.04738981,67.04122453,3.553691579,NA,7428.73
34,0,3.95E-05,6.78E-21,42.34712911,0.707935623,-0.218516614,0,99.99937428,95.2031247,NA,2275.93
35,0.027762975,2.23E-05,6.78E-21,40.53318334,0.787857238,-0.173784619,0,100.0161164,96.91360396,2.23E-05,16298.63
36,44.38859049,2.39E-05,2.54E-06,26.50307226,0.458788023,0.421386935,0,1.138168987,1.138168987,2.39E-05,37108.81
37,46.26907719,2.03E-05,1.30E-06,31.18462372,1.714412874,0.026892862,0,58.7958035,22.7563078,2.03E-05,38979.27
38,20.723167,2.65E-05,0,31.26272154,1.471489497,0.017051148,2.380457563,73.09323339,44.59714373,2.65E-05,35632.67
39,9.223301464,1.95E-05,0,32.81168699,0.334681495,-0.041778141,17.09329684,56.87355568,24.01250795,1.95E-05,39359.16
40,37.10884031,2.92E-05,0,31.05073941,0.349492865,0.172215418,0,3.921169773,3.921169773,2.92E-05,31807.05
41,9.959112202,2.92E-05,0,29.93968296,0.605832963,0.15035372,0,21.87534611,9.008311943,2.92E-05,30609.57
42,22.84052716,2.75E-05,1.02E-20,33.69212961,0.45915892,0.078235017,17.94761569,37.45679887,16.3166452,2.75E-05,28029.09
43,79.51676832,2.75E-05,0,28.56040466,1.008562778,0.339892697,1.013306116,4.608460693,3.574333218,2.75E-05,22410.37
44,0,2.71E-05,3.39E-21,35.82163548,0.226366287,0.032830898,0,3.456393039,3.456393039,2.71E-05,22337.72
45,5.136011736,2.75E-05,0,40.82380986,0.877880036,-0.178550387,0,64.852559,50.45090447,2.75E-05,21907.42
46,0,2.21E-05,1.02E-20,38.43401599,0.556933994,-0.171798255,0,99.97679199,97.84593423,NA,4213.22
47,0,3.96E-05,0,40.92844152,1.131717167,-0.206698832,0,99.99444644,99.99444644,NA,3044.94
48,0,3.05E-05,3.39E-21,39.27575874,0.254299601,-0.208202578,0,100.0158699,96.10130007,3.05E-05,16657.86
49,0.0277642,2.91E-05,0,39.71572804,0.511171253,-0.278271088,45.12376533,99.9788826,96.09883571,2.91E-05,12208.89
50,0,3.78E-05,0,40.3373282,0.729679705,-0.219410345,0,99.11925188,94.96845968,NA,2117.74
51,0,3.38E-05,0,38.34978032,1.249810702,-0.159725022,0,99.34286328,99.23874485,NA,4832.09
52,0.034705387,3.09E-05,3.17E-07,37.64298439,0.691017528,-0.192878764,0,100.0209265,89.5398995,NA,5478.41
53,0,3.10E-05,0,39.3256402,0.949462704,-0.150927928,0,99.986357,99.986357,NA,5547.1
54,0,3.26E-05,1.36E-20,40.44809771,0.594540514,-0.234360599,0,100.0086023,84.32846397,NA,4218.58
55,0.846745423,2.75E-05,1.36E-20,39.46807408,0.475132922,-0.242501088,0.083286435,98.91652275,80.82948526,2.75E-05,20211.08
56,0,3.17E-05,0,41.31623077,0.387116916,-0.168264322,0,100.0075991,98.73052236,3.17E-05,18052.11
57,0,3.17E-05,0,40.97848916,0.52356345,-0.186071615,0,99.99377704,95.27414294,3.17E-05,18529.35
58,9.800608226,3.02E-05,0,35.56199789,0.183172126,-0.049019532,17.91456787,50.53004808,28.40232922,NA,4103.66
59,23.21767366,2.91E-05,0,35.30712867,0.241557172,-0.040588448,24.5503473,74.21326359,36.46805901,2.91E-05,9620.05
60,0,3.96E-05,0,37.6662569,0.25436636,-0.222109845,8.36411689,99.99457919,29.19458559,NA,0
61,12.64653424,3.15E-05,6.78E-21,35.52622223,0.216972608,-0.100797367,29.87414016,71.9367074,25.45965291,3.15E-05,18024.86
62,7.68298713,2.75E-05,0,36.91742063,0.599690104,-0.140270711,10.25786357,80.12654599,25.81816813,2.75E-05,26370.31
63,32.72595156,2.10E-05,0,35.36364698,0.405985819,0.016352418,9.356221146,65.8961154,25.60467345,2.10E-05,20049.27
64,14.39426772,2.50E-05,2.52E-08,35.23214936,0.473535034,-0.074346671,0,69.86841521,27.6364388,2.50E-05,24250.84
65,23.35613004,2.97E-05,2.41E-07,34.94338131,0.143664784,-0.062910545,27.03480728,69.15913216,29.13095922,2.97E-05,11793.29
66,13.96514573,2.10E-05,0,36.197155,0.535095425,-0.125815728,14.71476588,75.37152955,41.4928634,2.10E-05,15866.81
67,0.402580895,3.96E-05,0,34.60723877,0.168342889,-0.092572725,0,94.01652109,27.83361016,NA,2420.99
68,15.40844136,2.10E-05,0,36.45909357,0.362228746,-0.077279096,0.298451792,74.95998497,29.30380153,2.10E-05,18965.72
69,28.66590066,2.91E-05,0,33.6434679,0.271584834,0.023154351,20.13553942,49.90504256,24.63324006,2.91E-05,12061.53
70,1.41596019,3.78E-05,0,36.05547142,0.201004939,-0.048612789,12.0426026,38.51550538,22.08620258,NA,2975.58
71,4.886295522,2.10E-05,0,33.30550265,0.144717786,-0.077457383,3.4426173,56.82400773,22.41865701,2.10E-05,18157.45
72,1.908503069,2.25E-05,3.39E-21,30.47848547,0.436435011,0.101736492,0,22.24273577,22.24273577,2.25E-05,38527.07
73,6.593821811,2.21E-05,6.78E-21,36.62213469,0.853517719,-0.063675312,24.47349022,54.60378546,22.59945665,NA,5644.16
74,11.11896279,2.24E-05,0,34.56202483,0.400835621,-0.057257432,12.50709797,47.38399436,24.52140795,2.24E-05,23095.61
75,37.75096097,2.10E-05,0,33.12112594,0.134531641,0.085357152,9.127139857,33.62119047,19.68408261,2.10E-05,20009.41
76,14.11806734,2.91E-05,0,34.99981952,0.529294705,-0.058744052,7.378321329,68.09156372,20.10124042,2.91E-05,11334.39
77,7.274157962,3.02E-05,0,35.18818784,0.166569439,-0.055086841,14.97171634,54.45901085,24.55028312,NA,4422
78,25.92398375,3.11E-05,0,34.38745403,0.226547635,0.032797614,14.38139072,43.55368086,21.51655947,3.11E-05,12345.58
79,22.39794576,2.10E-05,0,34.6338253,0.086064907,0.016836822,20.37123359,47.18352503,22.1966627,2.10E-05,16857.23
80,20.04575194,2.91E-05,0,34.15154719,0.392467524,0.007755647,18.61589568,99.98582298,22.31547524,2.91E-05,7386.66
81,66.45358716,2.70E-05,6.78E-21,29.96750498,0.400546573,0.276036327,0.909182237,47.60367147,7.669056273,2.70E-05,28968.58
82,15.73482198,2.10E-05,0,33.83370614,0.189961198,0.138133997,8.197099583,45.06669567,8.634370771,2.10E-05,19874.83
83,72.1188177,3.78E-05,0,29.64430332,0.926216842,0.247397454,5.018470183,11.80694022,6.60105829,NA,2309.01
84,40.68776763,2.91E-05,3.39E-21,32.34326899,0.851906018,0.032212166,1.339600674,32.92086009,16.23484962,2.91E-05,15567.59
85,10.31458052,3.26E-05,2.03E-20,34.93811488,0.146436806,-0.092276112,16.15210557,76.38758993,9.738463305,NA,4469.64
86,99.36009249,2.28E-05,0,24.96074796,0.128375341,0.423691457,0,0,0,2.28E-05,38424.75
87,0.367869619,2.11E-05,5.40E-08,35.34590244,0.093168688,-0.196013935,0.673270811,99.99806782,0,2.11E-05,16951.76
88,8.766447823,3.02E-05,0,35.71749926,1.095359557,-0.009200569,0,50.55110015,2.575100667,NA,2997.68
89,1.429838418,2.82E-05,0,31.90452886,0.787311956,0.162792872,11.82740128,18.1228549,0,2.82E-05,19239.72
90,40.9555888,2.75E-05,0,35.48215318,0.580413336,-0.140693834,0,97.90197179,0.229034813,2.75E-05,23129.81
91,23.13172659,2.65E-05,0,32.30872226,0.302215838,0.085087483,18.4540237,43.24446096,0.714841836,2.65E-05,32932.11
92,19.98259931,2.10E-05,0,33.44546032,0.462170012,0.030389489,18.9831223,42.03356076,17.42143948,2.10E-05,18777.9
93,4.26133505,2.65E-05,0,35.55856061,0.205709934,-0.182338732,6.676554264,95.42197982,18.8151129,2.65E-05,29467.52
94,9.286703533,3.17E-05,6.78E-21,34.38240743,0.315497167,-0.070509838,35.71008197,72.90548125,15.45701702,3.17E-05,11359.74
95,12.86019299,2.65E-05,0,33.85632086,0.153105636,0.064113853,14.13719002,29.69018111,15.0879976,2.65E-05,31191.5
96,37.75096097,2.10E-05,0,33.12112594,0.134531641,0.085357152,9.127139857,33.62119047,19.68408261,2.10E-05,20009.41
97,29.84292725,2.92E-05,6.78E-21,32.19509184,1.028660294,0.065955277,14.02617581,37.74783287,15.21295268,2.92E-05,29434.87
98,40.21150518,2.65E-05,0,31.54047716,0.336917658,0.106798115,16.03185657,35.15904129,18.3221218,2.65E-05,33218.14
