fid,Lat,Long,NO2_mean,LST_mean
1,-406699.3507,179516.9367,3.17E-05,38.57
2,-406491.6573,179137.443,3.06E-05,38.4
3,-404889.9618,178153.3369,2.10E-05,35.97
4,-404161.2972,178209.3896,2.10E-05,35.39
5,-403900.8236,178427.157,2.10E-05,34.63
6,-403235.4667,177766.5328,2.10E-05,34.66
7,-394983.8695,175594.432,3.16E-05,32.26
8,-394572.1506,176160.0187,3.16E-05,33.3
9,-396734.0808,178998.7881,2.91E-05,33.04
10,-402404.9546,180341.6249,2.10E-05,39.24
11,-401155.4168,180833.2834,2.10E-05,34.31
12,-400113.6219,181704.4532,2.83E-05,32.82
13,-399578.505,180934.9387,2.85E-05,32.74
14,-401324.578,183015.1754,3.11E-05,33.55
15,-404601.4163,180053.9746,3.05E-05,39.31
16,-404013.5624,179881.692,2.23E-05,40.05
17,-400328.9708,188826.6902,3.02E-05,35.45
18,-399248.3759,187406.939,3.02E-05,38.21
19,-422752.7243,173954.9442,2.65E-05,34.29
20,-392301.1195,188239.1766,3.93E-05,39.12
21,-394503.9532,186506.9681,2.97E-05,34.39
22,-393053.6438,185175.2326,2.91E-05,36
23,-393448.8021,190266.7119,3.96E-05,39.89
24,-391654.7348,194202.3998,3.96E-05,34.92
25,-395196.3523,181391.2644,2.91E-05,35.08
26,-395150.4215,180544.5378,2.91E-05,36.03
27,-397628.9379,183893.0617,2.95E-05,33.34
28,-395451.8528,194898.3939,3.78E-05,37.34
29,-396907.7986,186598.5015,3.02E-05,34.74
30,-397288.3746,190484.8593,3.02E-05,32.87
31,-398568.3685,181447.7704,2.91E-05,28.61
32,-417683.0747,173987.5503,2.65E-05,29.56
33,-401194.8666,191311.2078,2.21E-05,34.48
34,-395159.329,191380.7367,3.95E-05,42.35
35,-403851.6702,180348.9362,2.23E-05,40.53
36,-426072.5003,174610.2866,2.39E-05,26.5
37,-427614.8611,173543.2627,2.03E-05,31.18
38,-424167.925,174321.0929,2.65E-05,31.26
39,-427143.5201,172056.9643,1.95E-05,32.81
40,-423138.3673,180489.8344,2.92E-05,31.05
41,-422215.8439,181371.2152,2.92E-05,29.94
42,-417453.6699,177939.7662,2.75E-05,33.69
43,-412401.8649,180502.4627,2.75E-05,28.56
44,-409772.459,177501.1861,2.71E-05,35.82
45,-409501.394,177838.3737,2.75E-05,40.82
46,-398263.4414,193099.4294,2.21E-05,38.43
47,-391706.616,189511.1808,3.96E-05,40.93
48,-404340.9462,180271.7465,3.05E-05,39.28
49,-395498.9191,180695.6322,2.91E-05,39.72
50,-391982.7146,198686.6547,3.78E-05,40.34
51,-389171.5825,200486.057,3.38E-05,38.35
52,-394190.8663,187322.1394,3.09E-05,37.64
53,-393962.0762,187181.5787,3.10E-05,39.33
54,-391322.7706,188393.7769,3.26E-05,40.45
55,-409846.2745,180758.0729,2.75E-05,39.47
56,-406952.8083,180743.1748,3.17E-05,41.32
57,-406896.4817,180015.8859,3.17E-05,40.98
58,-397474.9614,191103.3419,3.02E-05,35.56
59,-396323.0924,183657.5335,2.91E-05,35.31
60,-390919.542,195702.9596,3.96E-05,37.67
61,-396842.4036,175035.9699,3.15E-05,35.53
62,-415299.2685,177749.1178,2.75E-05,36.92
63,-402281.1879,174913.6923,2.10E-05,35.36
64,-415724.5635,182481.873,2.50E-05,35.23
