fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS,GS_500,Households,Backyards,BY_Ratio,GS_1000,GS_800,GS_300,Testing,%yard,yard_area
8,26.88,3.16E-05,0.00E+00,33.3,0.41,0.06,11.81,47.42,8.67,4620317.02/4620317.04,5031.7,Verdun,53821.67,381.39,457.34,5,5,16490.47,0,9.913941317,-394572.1506,176160.0187,38.75,0,8.969856694,2,2,1,7.838950036,7.778,9.913941317,Training,0.344486837,4963
9,39.64,2.91E-05,0.00E+00,33.04,0.27,0.18,8.41,28.26,4.1,4620068,12743.6,Le Sud-Ouest,24041,133.98,1933.54,5,15,14181.61,0,9.351561425,-396734.0808,178998.7881,24.16,0,6.989772738,76,0,0,4.837500003,4.8,9.351561425,Test,0.694100858,10000
11,25.22,2.10E-05,0.00E+00,34.31,0.39,0.15,6.89,32.92,4.69,4620122,9900.9,Côte-des-Neiges-Nôtre-Dame-de-Grâce,20712,168.97,6228.2,5,5,14386.86,0,17.95193033,-401155.4168,180833.2834,28.23,0,11.5958744,19,5,0.263157895,5.71975004,6.153,17.95193033,Training,0.602117753,8675
14,14.84,3.11E-05,0.00E+00,33.55,0.45,0.24,0,18.62,1.12,4620400,3794.3,Mont-Royal,72985,509.88,4443.81,5,5,12655.88,0,10.79690328,-401324.578,183015.1754,17.5,0,7.394928179,0,0,NA,3.88155001,3.549,10.79690328,Training,0.813534169,11721
27,17.7,2.95E-05,2.92E-07,33.34,1,0.06,21.54,61.43,5.74,4620174/4620173,9091.3,Le Plateau-Mont-Royal,41599.39,463.75,3735.37,5,5,9936.38,0,26.46814492,-397628.9379,183893.0617,55.69,0,15.58631688,0,0,NA,11.44644983,11.437,26.46814492,Training,0.376199957,5420
30,9.64,3.02E-05,0.00E+00,32.87,0.7,0.25,7.28,23,0,4620605.01/4620605.03,2585.2,Saint-Léonard,38779.17,728.08,4168.85,5,5,4335.5,0,21.50935527,-397288.3746,190484.8593,23,0,15.1963259,0,0,NA,10.76079999,11.645,21.50935527,Training,0.757535238,10914
43,79.52,2.75E-05,0.00E+00,28.56,1.01,0.34,1.01,4.61,3.57,4620520.03,2470.4,Dollard-des-Ormeaux,55225,397.85,1779.11,5,5,22410.37,0,46.30580383,-412401.8649,180502.4627,1.04,0,43.43706434,5,5,1,36.23154989,37.003,46.30580383,Training,0.946191937,13633
88,8.77,3.02E-05,0.00E+00,35.72,1.1,-0.01,0,50.55,2.58,4620594.02,938.3,Anjou,47581,785.4,4017.22,5,5,2997.68,0,17.62650049,-396574.1023,191746.3147,47.97,0,11.31614851,0,0,NA,4.834650033,4.948,17.62650049,Test,0.494544266,7125
106,75.63,2.91E-05,0.00E+00,30.57,1.43,0.27,0,33.31,10.96,4620128,1162.2,Ville-Marie,49617,342.47,2611.07,5,5,12041.19,0,62.16715922,-397361.0612,181461.6964,22.35,0,63.0539181,13,0,0,48.55785046,50.42,62.16715922,Test,0.136529013,1967
109,23.99,3.96E-05,0.00E+00,33.61,0.24,-0.01,18.62,63.22,12.59,4620591.02,6066.5,Anjou,45874,855.5,3205.26,15,5,977.03,0,2.512843446,-393889.0066,192111.578,50.63,0,2.467179778,27,20,0.740740741,6.658500101,3.765,2.512843446,Training,0.274935897,3961
223,0.7,3.02E-05,0.00E+00,34.53,0.12,-0.19,0,99.05,73.07,4620229,0,Villeray-Saint-Michel-Parc-Extension,NA,467.79,4432.63,5,5,11256.88,0,34.25255684,-400501.0549,184146.4113,25.98,0,36.27284989,0,0,NA,18.39420008,18.599,34.25255684,Training,0.00937015,135
193,0.27,3.17E-05,0.00E+00,39.54,1.57,-0.23,0,99.87,66.65,4620404,3521.1,Mont-Royal,90875,145.11,3337.06,10,10,12500.44,17.49596593,1.900765969,-402098.9924,183805.8629,33.22,0.44,1.611174538,0,0,NA,1.560900001,1.584,1.900765969,Training,0.000763487,11
126,8.3,3.02E-05,0.00E+00,38.56,1.14,-0.13,12.87,89.68,49.34,4620256,2049.7,Villeray-Saint-Michel-Parc-Extension,33595,253.11,3153.42,5,5,8002.48,0,39.47133323,-399815.0528,187818.1354,40.34,2.69,39.25865615,0,0,NA,40.40170026,39.524,39.47133323,Training,0.816315132,11761
137,8.3,3.02E-05,0.00E+00,38.56,1.14,-0.13,12.87,89.68,49.34,4620256,2049.7,Villeray-Saint-Michel-Parc-Extension,33595,253.11,3153.42,5,5,8002.48,0,39.47133323,-399815.0528,187818.1354,40.34,3.63,39.25865615,0,0,NA,40.40170026,39.524,39.47133323,Training,0.816315132,11761
