fid,%canopy,NO2_mean,NO2_stdev,LST_mean,LST_stdev,NDVImean,Road%,Imp%,BD,CTUID,Density,Borough,Income,road distance (meters),river distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,Lat,Long,Imp2,Man_GS
1,0,3.17E-05,0.00E+00,38.57,0.29,-0.16,0,100,95.05,4620415.06,427.7,Saint-Laurent,76204,343.94,4820.69,25,25,18758.93,1237.444546,0,-406699.3507,179516.9367,4.95,4020.39
2,1.1,3.06E-05,6.78E-21,38.4,0.28,-0.13,6.07,95.2,40.9,4620415.06,427.7,Saint-Laurent,76204,270.69,5229.31,25,25,18903.83,1413.417913,0,-406491.6573,179137.443,54.3,4009.57
3,0,2.10E-05,0.00E+00,35.97,0.14,-0.04,0,100.01,1.7,4620383.02,5327.6,Côte-Saint-Luc,44361,1498.47,4769.63,15,15,18684,665.0789906,0,-404889.9618,178153.3369,98.31,5052.25
4,13.56,2.10E-05,0.00E+00,35.39,0.54,0,5.64,42.8,34.23,4620383.02,5327.6,Côte-Saint-Luc,44361,1855.57,5027.78,15,15,18224.59,319.9732411,0.37932801,-404161.2972,178209.3896,8.57,652.5
5,11.98,2.10E-05,0.00E+00,34.63,0.27,0,11.64,49.29,30.66,4620383.02,5327.6,Côte-Saint-Luc,44361,1827.18,5312.89,15,15,17899.22,100.3034834,2.023312512,-403900.8236,178427.157,18.63,294.89
6,9.61,2.10E-05,0.00E+00,34.66,0.09,0.08,8.91,66.18,5.65,4620382.01/4620380,6666.1,Côte-Saint-Luc,48717.31,2026.21,4954.71,15,15,18092.41,176.2542124,5.523855363,-403235.4667,177766.5328,60.53,370.44
7,22.93,3.16E-05,0.00E+00,32.26,0.63,0.02,14.44,38.78,20.77,4620317.04,5031.7,Verdun,59107,963.66,621.82,5,5,17108.29,0,23.20910616,-394983.8695,175594.432,18.01,16.98
8,26.88,3.16E-05,0.00E+00,33.3,0.41,0.06,11.81,47.42,8.67,4620317.02/4620317.04,5031.7,Verdun,53821.67,381.39,457.34,5,5,16490.47,0,9.913941317,-394572.1506,176160.0187,38.75,0
9,39.64,2.91E-05,0.00E+00,33.04,0.27,0.18,8.41,28.26,4.1,4620068,12743.6,Le Sud-Ouest,24041,133.98,1933.54,5,15,14181.61,0,9.351561425,-396734.0808,178998.7881,24.16,0
10,0.44,2.10E-05,0.00E+00,39.24,0.52,-0.18,0,100,75.15,4620112.01,8481.7,Côte-des-Neiges-Nôtre-Dame-de-Grâce,35271,93.48,6186.55,10,10,15478.89,350.7567952,0,-402404.9546,180341.6249,24.85,649.47
11,25.22,2.10E-05,0.00E+00,34.31,0.39,0.15,6.89,32.92,4.69,4620122,9900.9,Côte-des-Neiges-Nôtre-Dame-de-Grâce,20712,168.97,6228.2,5,5,14386.86,0,17.95193033,-401155.4168,180833.2834,28.23,0
12,16.73,2.83E-05,1.06E-06,32.82,0.79,0.01,0.84,76.86,68.21,4620125,13184.8,Côte-des-Neiges-Nôtre-Dame-de-Grâce,44718,978.83,5330.84,10,5,13083.71,0,8.489099974,-400113.6219,181704.4532,8.65,704.69
13,8.36,2.85E-05,3.39E-21,32.74,0.96,-0.2,0,87.62,63.48,4620126,3399,Côte-des-Neiges-Nôtre-Dame-de-Grâce,34078,987.12,4666.33,5,5,13466.59,435.2048007,0,-399578.505,180934.9387,24.14,2112.16
14,14.84,3.11E-05,0.00E+00,33.55,0.45,0.24,0,18.62,1.12,4620400,3794.3,Mont-Royal,72985,509.88,4443.81,5,5,12655.88,0,10.79690328,-401324.578,183015.1754,17.5,0
15,1.11,3.05E-05,3.39E-21,39.31,0.29,-0.14,0,98.29,51.47,4620402,691.6,Mont-Royal,59971,171.38,5573.98,25,20,16990.12,785.2406052,0,-404601.4163,180053.9746,46.82,1922.78
16,0.67,2.23E-05,6.78E-21,40.05,0.42,-0.19,4.61,98.87,66.42,4620402,691.6,Mont-Royal,59971,685.42,6034.02,25,20,16770.1,1022.070348,0,-404013.5624,179881.692,32.45,1380.64
17,11.84,3.02E-05,0.00E+00,35.45,0.17,-0.01,21.32,41.73,14.55,4620261/4620260,4309.8,Villeray-Saint-Michel-Parc-Extension,39607.88,246.94,2168.66,10,5,7747.37,39.03179376,3.956612843,-400328.9708,188826.6902,27.18,191.77
18,3.35,3.02E-05,0.00E+00,38.21,0.46,-0.18,0.77,98.08,70.16,4620256,2049.7,Villeray-Saint-Michel-Parc-Extension,33595,251.51,3853.46,10,10,7910.7,105.284453,8.604781148,-399248.3759,187406.939,27.92,669.49
19,5.88,2.65E-05,0.00E+00,34.29,0.49,-0.12,0,84.87,58.26,4620480,633.9,Baie-d'Urfé,85722,270.44,1462.95,20,20,34649.11,778.7121224,0,-422752.7243,173954.9442,26.61,6417.73
20,0,3.93E-05,2.03E-20,39.12,0.95,-0.19,0,100.01,99.83,4620009,813.8,Mercier-Hochelaga-Maisonneuve,38773,313.34,913.28,20,10,4259.23,496.8074711,0,-392301.1195,188239.1766,0.18,1703.55
21,0,2.97E-05,3.39E-21,34.39,0.83,-0.26,0,100.03,80.57,4620014.02,0,Mercier-Hochelaga-Maisonneuve,NA,126.69,2137.77,5,5,6349.31,89.13795862,3.749793619,-394503.9532,186506.9681,19.46,517.8
22,0.46,2.91E-05,0.00E+00,36,0.42,-0.23,3.37,97.29,80.82,4620021,6523,Mercier-Hochelaga-Maisonneuve,26430,70.64,175.4,10,10,7361.36,290.5717019,0.141562409,-393053.6438,185175.2326,16.47,455.31
23,0,3.96E-05,0.00E+00,39.89,0.57,-0.21,0,100.01,85.99,4620191,3647.6,Mercier-Hochelaga-Maisonneuve,38538,176.45,2685.53,15,15,2445.09,157.6964975,2.153212375,-393448.8021,190266.7119,14.02,764.49
24,0,3.96E-05,0.00E+00,34.92,0.34,-0.15,0,99.99,10.86,4620570,314.5,Montréal-Est,38802,1449.98,1839.93,20,20,0,1526.551918,0,-391654.7348,194202.3998,89.13,2229.29
25,0.25,2.91E-05,0.00E+00,35.08,0.45,-0.25,10.58,92.87,76.78,4620054/4620058,9342.2,Ville-Marie,24522.72,68.22,620.58,25,10,11460,172.9131901,5.990046356,-395196.3523,181391.2644,16.09,365.64
26,21.84,2.91E-05,0.00E+00,36.03,0.49,-0.07,4.46,96.78,90.96,4620055.01,6500,Ville-Marie,56918,283.56,234.92,25,10,12272.84,327.0078832,0.765992929,-395150.4215,180544.5378,5.82,514.19
27,17.7,2.95E-05,2.92E-07,33.34,1,0.06,21.54,61.43,5.74,4620174/4620173,9091.3,Le Plateau-Mont-Royal,41599.39,463.75,3735.37,5,5,9936.38,0,26.46814492,-397628.9379,183893.0617,55.69,0
28,1.02,3.78E-05,0.00E+00,37.34,0.75,-0.16,0.94,99.03,69.79,4620594.02/4620290.02,938.3,Rivière-des-Prairies-Pointes-aux-Trembles,47728.35,78.44,2317.83,5,5,1961.59,15.98664315,34.18215856,-395451.8528,194898.3939,29.24,277.8
29,5.84,3.02E-05,0.00E+00,34.74,0.2,-0.13,3.88,83.8,59.62,4620201,7588.5,Rosemont-La-Petite-Patrie,27428,310.64,4140.62,10,5,7233.29,52.376764,15.86865938,-396907.7986,186598.5015,24.18,215.33
30,9.64,3.02E-05,0.00E+00,32.87,0.7,0.25,7.28,23,0,4620605.01/4620605.03,2585.2,Saint-Léonard,38779.17,728.08,4168.85,5,5,4335.5,0,21.50935527,-397288.3746,190484.8593,23,0
