fid,%canopy,NO2_mean,LST_mean,NDVImean,Road%,Imp%,BD,Income,road distance (meters),nearest_L,nearest_M,petrochem_distance,Distance_M,GS%,weightNO2
76,14.12,2.91E-05,35,-0.06,7.38,68.09,20.1,19783.22,332.06,10,5,11334.39,21.20174865,4.139200254,0.33
11,25.22,2.10E-05,34.31,0.15,6.89,32.92,4.69,20712,168.97,5,5,14386.86,0,17.95193033,0.30
243,0.73,2.10E-05,38.88,-0.2,0,82.73,82.73,23621,495.08,20,20,21949.14,245.778491,1.353302295,0.46
159,0.59,2.16E-05,37.54,-0.18,3.46,98,39.92,23621,408.59,30,30,21525.84,1289.392026,0,0.47
197,0,2.23E-05,39.67,-0.18,0,99.12,65.65,23621,192.4,NA,NA,20925.61,2569.221397,0,0.47
130,0.04,2.25E-05,39.21,-0.2,0,100.03,52.39,23621,423.8,20,20,22184.07,1403.432321,0,0.50
195,3.78,2.21E-05,38.57,-0.11,0,84.89,66.86,23885,684.51,25,15,5273.23,114.9215223,1.520753717,0.12
235,0,2.21E-05,37.87,-0.2,0,100,86.05,23885,616.63,25,15,4887.69,255.6060351,0.276021732,0.11
9,39.64,2.91E-05,33.04,0.18,8.41,28.26,4.1,24041,133.98,5,15,14181.61,0,9.351561425,0.41
25,0.25,2.91E-05,35.08,-0.25,10.58,92.87,76.78,24522.72,68.22,25,10,11460,172.9131901,5.990046356,0.33
168,5.58,3.02E-05,37.3,-0.06,15.08,98.74,31.42,25603,38.75,10,10,11293.69,155.1490315,1.222741983,0.34
225,3.14,2.12E-05,35.22,-0.1,5.32,87.87,70.26,25907,320.68,10,10,14262.67,366.212629,0,0.30
22,0.46,2.91E-05,36,-0.23,3.37,97.29,80.82,26430,70.64,10,10,7361.36,290.5717019,0.141562409,0.21
29,5.84,3.02E-05,34.74,-0.13,3.88,83.8,59.62,27428,310.64,10,5,7233.29,52.376764,15.86865938,0.22
162,20.86,2.91E-05,35.66,-0.07,18.52,67.33,35.22,27816,434.24,10,10,9290.94,241.5201842,2.046466606,0.27
99,30.83,3.03E-05,33.19,0.03,23.58,64.14,24.44,28169,448.08,5,5,15261.85,45.6417146,20.77000505,0.46
131,6.46,3.02E-05,37.81,-0.17,11.04,85.53,49.29,29341,366.16,15,15,16789.8,28.56335067,1.524653383,0.51
144,6.46,3.02E-05,37.81,-0.17,11.04,85.53,49.29,29341,366.16,15,15,16789.8,28.56335067,1.524653383,0.51
172,6.5,2.21E-05,36.14,-0.1,21.29,70.03,34.36,29574.42,953.46,20,15,5124.14,0,1.836861518,0.11
191,0.39,3.01E-05,39.31,-0.16,4.13,99.83,64.97,29683,1135.78,10,5,8644.58,138.1086819,2.772593901,0.26
213,0.48,2.10E-05,37.7,-0.21,0,100,75.3,29893,182.78,10,10,14721.95,235.6506386,0.960691813,0.31
196,1.06,2.11E-05,39.04,-0.16,0,96.25,66.74,30262.21,36.16,15,15,17006.59,183.3112229,0.435680022,0.36
152,0.01,2.10E-05,37.31,-0.12,9.97,76.66,41.47,30307,60.93,15,15,16522.09,437.3283617,0,0.35
153,11.3,3.02E-05,36.28,-0.1,24.1,70.37,39.81,31477.67,139.29,10,10,10185.74,427.8196307,0.599688627,0.31
166,13.82,2.10E-05,35.08,-0.06,12.24,56.41,29.72,32239,985.67,20,20,22850.57,84.71663057,9.389046231,0.48
46,0,2.21E-05,38.43,-0.17,0,99.98,97.85,32262,310.75,15,15,4213.22,720.4500912,0,0.09
205,0,2.44E-05,40.97,-0.21,0,99.96,64.66,32262,116.15,15,15,5255.7,292.2482358,0.010078803,0.13
61,12.65,3.15E-05,35.53,-0.1,29.87,71.94,25.46,32291,781.83,15,15,18024.86,518.2900129,0.137667833,0.57
128,8.95,2.91E-05,37.26,-0.15,15.17,84.54,51.68,32872.52,54.96,10,5,11365.98,185.0405172,3.177354923,0.33
186,0,3.02E-05,43.6,-0.23,0,100.04,93.8,33083,230.3,10,10,11013.64,225.8055466,1.563815294,0.33
18,3.35,3.02E-05,38.21,-0.18,0.77,98.08,70.16,33595,251.51,10,10,7910.7,105.284453,8.604781148,0.24
126,8.3,3.02E-05,38.56,-0.13,12.87,89.68,49.34,33595,253.11,5,5,8002.48,0,39.47133323,0.24
137,8.3,3.02E-05,38.56,-0.13,12.87,89.68,49.34,33595,253.11,5,5,8002.48,0,39.47133323,0.24
58,9.8,3.02E-05,35.56,-0.05,17.91,50.53,28.4,33633,1242.75,15,15,4103.66,69.280481,11.20719313,0.12
202,3.03,3.02E-05,39.69,-0.17,14.85,94.34,62.81,33633,1361.26,15,15,3888.8,242.1158278,0.942828034,0.12
143,15.49,2.17E-05,34.9,-0.07,5.25,69.09,45.09,33662.95,333.11,10,5,14320.61,22.61809076,4.340986214,0.31
108,19.98,3.02E-05,35.2,-0.02,28.02,56.67,16.5,34000,42.58,5,5,6572.03,284.9700917,0.058640426,0.20
13,8.36,2.85E-05,32.74,-0.2,0,87.62,63.48,34078,987.12,5,5,13466.59,435.2048007,0,0.38
33,4.55,2.21E-05,34.48,-0.02,42.05,67.04,3.55,34176.29,5.34,5,5,7428.73,83.60472259,8.627439843,0.16
135,8.41,2.86E-05,35.08,-0.16,0.01,86.74,46.02,34290,448.55,15,15,16466.32,107.4412485,7.024716111,0.47
49,0.03,2.91E-05,39.72,-0.28,45.12,99.98,96.1,34325,10.64,10,10,12208.89,325.1472906,1.295590524,0.36
226,0.4,2.91E-05,36.69,-0.2,12.77,95.15,74.09,34688,229.4,10,5,10677.2,27.50526828,6.718909123,0.31
97,29.84,2.92E-05,32.2,0.07,14.03,37.75,15.21,34702,1195.33,20,20,29434.87,121.6933069,2.347171358,0.86
211,0.75,3.02E-05,40.23,-0.21,7.88,99.96,78.85,34861,222.87,10,10,10558.77,121.8764205,2.595065892,0.32
165,8.94,2.21E-05,37.32,-0.11,30.06,97.63,35.27,34865.21,793.45,15,15,4652.56,464.3466152,0.92473042,0.10
189,0,2.75E-05,41.6,-0.23,0,99.68,98.52,35030,268.53,15,15,22549.84,225.9534202,1.175781676,0.62
163,18.62,2.91E-05,35.64,-0.08,2.25,91.11,38.84,35038,486.28,15,5,15688.4,0,4.943668761,0.46
10,0.44,2.10E-05,39.24,-0.18,0,100,75.15,35271,93.48,10,10,15478.89,350.7567952,0,0.33
173,3.77,2.82E-05,37.09,-0.17,19.35,94.68,29.28,36097.47,777.42,15,15,22728.28,208.4552764,4.710230576,0.64
204,0.02,3.17E-05,38.66,-0.18,11.07,100.01,61.45,36187,502.63,5,5,12320.52,103.4768788,6.695965854,0.39
156,10.59,2.82E-05,36.97,-0.1,16.14,77.38,35.07,36204,1096.1,15,15,22272.74,472.5732434,1.18815215,0.63
219,0,2.11E-05,37.16,-0.18,0,99.98,79.54,36328,594.27,15,15,18153.07,7.363545544,28.47814479,0.38
246,0,2.11E-05,37.16,-0.18,0,99.98,79.54,36328,594.27,15,15,18153.07,7.363545544,28.47814479,0.38
77,7.27,3.02E-05,35.19,-0.06,14.97,54.46,24.55,37139,586.74,10,10,4422,165.9201519,2.795960834,0.13
171,16.44,3.17E-05,34.87,-0.03,16.12,62.05,31.44,37474.5,508.75,5,5,12736.12,134.2589905,6.372525578,0.40
209,4.71,2.49E-05,38.83,-0.16,0,88.27,61.35,37567,361.5,10,10,26975.02,496.6349688,0.429028918,0.67
